id,student_id,時間點,學習時間（分鐘）
384,20,2021-07-22 06:52:11.738627,198
385,20,2021-07-13 00:56:27.662010,210
386,20,2021-07-08 14:44:48.334138,274
387,20,2021-06-23 00:44:24.211863,165
388,20,2021-07-04 05:48:04.564777,179
389,20,2021-07-18 10:51:26.184150,207
390,20,2021-07-07 23:58:10.970893,174
391,20,2021-07-03 04:17:39.725705,206
392,21,2021-07-06 12:42:28.158573,234
393,21,2021-07-20 10:17:40.740662,267
394,21,2021-07-05 00:19:51.352136,176
395,21,2021-07-13 11:33:51.391888,221
396,21,2021-07-02 10:24:46.130133,276
397,21,2021-07-13 15:36:00.569203,183
398,21,2021-07-25 16:37:38.410333,246
399,21,2021-07-29 12:29:15.312319,236
400,21,2021-07-21 21:16:02.391221,162
401,21,2021-07-23 01:04:03.852096,193
402,21,2021-07-05 10:48:57.818689,197
403,21,2021-07-20 03:29:09.394201,240
404,21,2021-07-01 09:39:02.556123,318
405,21,2021-07-18 01:01:40.339022,250
406,21,2021-07-06 15:38:31.005991,176
407,21,2021-07-24 18:57:22.776158,281
408,21,2021-07-15 23:09:03.718340,222
409,21,2021-06-30 08:07:12.557234,160
410,21,2021-07-26 11:40:45.299488,149
411,21,2021-07-11 14:27:56.435740,262
412,22,2021-06-30 03:43:19.327596,176
413,22,2021-07-17 15:12:40.285860,241
414,22,2021-07-24 14:19:34.328297,145
415,22,2021-06-30 23:10:03.972403,260
416,22,2021-07-02 11:18:29.421874,237
417,22,2021-07-19 09:40:19.269393,192
418,22,2021-07-20 23:48:07.825437,277
419,22,2021-06-30 02:50:28.069904,181
420,22,2021-06-30 10:03:07.273441,222
421,22,2021-07-03 21:11:21.206218,240
422,22,2021-07-01 07:52:33.917669,218
423,22,2021-07-10 23:13:46.841668,276
424,22,2021-07-17 16:43:07.337672,231
425,22,2021-07-16 08:26:10.731456,121
426,22,2021-07-17 16:13:13.904743,218
427,22,2021-07-01 19:37:50.712867,270
428,22,2021-07-21 21:04:13.773319,237
429,22,2021-07-01 19:51:26.881318,182
430,22,2021-07-17 19:27:00.826002,228
431,22,2021-07-05 13:01:14.371269,176
432,22,2021-07-20 05:01:09.171924,184
433,22,2021-07-03 05:10:34.276623,266
434,22,2021-07-10 02:06:01.447726,258
435,22,2021-07-16 02:01:36.096958,260
436,22,2021-07-07 00:23:50.791636,265
437,22,2021-07-22 19:30:22.025159,247
438,22,2021-07-07 19:44:59.697618,303
439,22,2021-07-01 07:39:29.332490,151
440,22,2021-07-07 22:29:49.569061,189
441,22,2021-07-02 20:09:57.717840,258
442,23,2021-07-22 03:46:48.541858,247
443,23,2021-07-13 10:18:56.535279,221
444,23,2021-07-24 16:41:53.689203,221
445,23,2021-07-16 21:04:01.394823,200
446,23,2021-07-03 13:26:30.913606,161
447,23,2021-07-14 07:57:34.471245,224
448,23,2021-07-24 17:27:52.936561,263
449,23,2021-07-06 16:43:43.668658,197
450,23,2021-07-11 00:01:32.462495,233
451,23,2021-07-13 06:32:53.862205,214
452,23,2021-07-13 10:35:18.904686,310
453,23,2021-06-26 06:00:49.070954,197
454,23,2021-07-03 09:05:32.959304,283
455,23,2021-07-03 20:01:30.507593,238
456,23,2021-07-11 11:13:07.331665,153
457,23,2021-07-23 03:01:25.285916,134
458,23,2021-07-15 04:38:51.019395,251
459,23,2021-06-27 04:54:53.241231,191
460,23,2021-07-10 02:55:23.255209,198
461,23,2021-07-16 01:22:02.563332,179
462,23,2021-07-16 11:16:12.617575,200
463,23,2021-06-29 02:41:40.598351,314
464,24,2021-07-02 13:17:51.229344,163
465,24,2021-07-28 04:11:28.661014,263
466,24,2021-07-04 11:41:58.405942,263
467,24,2021-07-25 04:10:27.832881,243
468,24,2021-07-12 06:42:32.598558,271
469,24,2021-07-24 08:41:02.567535,233
470,24,2021-07-12 14:21:00.916878,272
471,24,2021-07-25 05:18:36.246345,102
472,24,2021-07-12 16:51:20.188632,261
473,24,2021-07-01 01:29:39.051776,178
474,24,2021-06-30 03:02:28.116891,280
475,24,2021-07-06 09:51:48.532961,103
476,25,2021-07-10 01:00:29.124822,213
477,25,2021-07-13 19:46:30.219182,308
478,25,2021-07-21 18:51:06.953279,219
479,25,2021-07-21 21:53:55.091680,192
480,25,2021-06-25 23:03:30.860699,129
481,25,2021-07-06 11:06:25.707332,223
482,25,2021-06-28 10:47:43.313329,227
483,25,2021-06-25 14:53:38.248359,238
484,25,2021-07-22 02:57:12.801954,298
485,25,2021-07-13 19:19:30.570185,200
486,25,2021-06-28 04:57:42.567898,294
487,25,2021-06-24 22:24:34.498998,233
488,25,2021-07-15 14:55:51.310980,235
489,25,2021-07-02 15:56:53.750747,210
490,25,2021-07-07 10:56:10.758858,236
491,25,2021-07-05 06:25:16.006671,238
492,25,2021-07-11 23:35:20.283248,205
493,25,2021-06-28 01:27:54.215079,187
494,25,2021-06-25 19:10:05.031601,204
495,25,2021-07-14 20:47:38.375807,180
496,25,2021-07-22 10:52:20.551002,170
497,25,2021-07-15 19:41:00.803933,253
498,25,2021-06-30 18:05:50.615491,164
499,25,2021-07-17 05:04:12.306336,256
500,25,2021-07-02 19:25:42.343020,215
501,25,2021-07-08 00:55:51.508954,230
502,26,2021-07-19 16:45:29.970818,212
503,26,2021-06-25 12:56:50.839118,253
504,26,2021-07-16 14:52:24.558706,239
505,26,2021-06-28 01:26:21.693247,224
506,26,2021-07-06 18:22:08.428255,247
507,26,2021-07-18 16:11:24.980506,187
508,26,2021-07-13 00:10:57.678608,208
509,27,2021-07-16 14:31:36.219367,229
510,27,2021-07-27 00:01:07.443390,255
511,27,2021-07-11 21:32:46.472332,267
512,27,2021-07-03 12:25:48.058847,246
513,27,2021-07-15 10:42:49.479766,208
514,27,2021-06-28 19:53:03.965028,223
515,27,2021-07-03 08:20:12.690842,326
516,27,2021-07-14 02:42:48.013039,223
517,27,2021-07-24 03:45:20.114992,216
518,27,2021-07-08 15:57:44.699617,203
519,27,2021-07-11 01:06:34.117339,223
520,27,2021-07-27 17:59:22.749211,294
521,27,2021-06-30 06:16:47.572390,192
522,27,2021-07-12 23:19:52.037993,227
523,27,2021-07-05 03:51:36.316678,204
524,27,2021-07-13 04:44:03.246529,255
525,27,2021-07-02 05:44:37.271846,224
526,27,2021-07-09 21:55:33.519651,142
527,27,2021-06-29 21:24:52.388722,160
528,27,2021-07-11 03:54:34.163002,277
529,27,2021-07-10 22:02:59.886213,248
530,27,2021-06-30 12:36:52.887306,249
531,27,2021-07-08 20:56:49.113518,202
532,28,2021-06-28 22:02:41.540800,241
533,28,2021-06-28 18:56:52.554697,190
534,28,2021-07-11 01:20:02.154832,240
535,28,2021-07-17 17:24:46.159218,215
536,28,2021-07-03 16:16:50.245057,223
537,28,2021-06-23 14:54:48.942286,218
538,28,2021-06-22 14:51:56.902969,178
539,28,2021-07-08 20:45:02.820017,290
540,28,2021-07-06 10:18:58.740237,304
541,28,2021-07-08 04:13:19.476896,227
542,28,2021-07-02 08:09:16.442620,239
543,28,2021-06-24 02:18:01.937796,238
544,28,2021-06-25 19:31:49.500224,315
545,28,2021-07-06 21:19:32.547870,188
546,28,2021-07-18 19:40:12.864037,179
547,28,2021-07-05 13:09:13.002726,213
548,29,2021-06-28 23:31:38.686953,175
549,29,2021-07-17 11:33:36.280381,201
550,29,2021-07-23 07:07:06.107801,187
551,29,2021-07-08 00:23:22.002467,218
552,29,2021-07-19 20:17:19.234804,199
553,29,2021-07-17 01:40:32.518879,205
554,29,2021-07-08 23:24:46.291046,193
555,29,2021-07-02 08:46:19.381930,176
556,30,2021-07-23 02:18:45.366533,210
557,30,2021-07-02 14:06:18.537165,179
558,30,2021-07-25 07:08:03.272652,193
559,30,2021-07-10 10:37:16.053881,228
560,30,2021-07-13 15:54:55.536216,261
561,30,2021-07-02 10:40:06.425633,268
562,30,2021-07-07 21:00:11.359603,301
563,30,2021-07-02 19:40:13.314577,228
564,30,2021-07-18 15:27:22.681886,196
565,30,2021-07-04 00:08:11.019903,197
566,30,2021-07-27 02:25:15.631138,153
567,30,2021-07-25 17:55:23.127683,255
568,30,2021-07-18 13:09:28.312926,162
569,30,2021-07-01 09:10:35.463316,222
570,30,2021-07-26 05:17:23.707978,203
571,30,2021-07-28 12:12:42.506006,218
572,30,2021-07-23 03:53:22.082794,167
573,30,2021-07-17 12:52:59.097808,238
574,30,2021-06-30 03:41:14.503026,313
575,30,2021-07-16 09:46:03.884421,301
576,30,2021-07-24 22:24:04.717327,177
577,30,2021-07-16 04:08:08.306191,249
578,30,2021-07-17 07:43:43.363395,259
579,30,2021-07-05 06:47:32.425929,138
580,30,2021-07-11 20:16:58.020635,229
581,30,2021-07-29 03:49:55.171335,222
582,30,2021-07-19 17:02:14.172456,189
583,30,2021-07-13 03:27:14.188919,115
584,30,2021-07-04 12:53:44.676253,280
585,30,2021-07-07 00:22:33.670881,224
586,31,2021-07-14 05:44:49.860466,194
587,31,2021-07-08 08:24:47.321583,166
588,31,2021-07-02 05:28:32.195250,305
589,31,2021-07-15 06:27:19.651377,178
590,31,2021-07-09 14:38:05.018688,157
591,31,2021-07-22 04:40:54.776328,211
592,31,2021-07-15 06:06:26.547764,205
593,31,2021-07-19 04:25:39.359648,227
594,31,2021-07-27 03:32:40.848197,179
595,31,2021-07-28 00:29:45.291811,261
596,31,2021-07-13 01:28:46.484760,239
597,31,2021-07-26 07:59:00.288759,263
598,31,2021-07-06 15:05:55.724792,206
599,31,2021-07-04 13:43:41.244683,207
600,31,2021-06-29 03:18:01.765578,270
601,31,2021-07-11 08:06:45.438172,270
602,31,2021-07-23 00:27:49.853437,257
603,31,2021-07-11 11:04:49.464175,161
604,31,2021-07-16 00:12:11.039743,172
605,31,2021-07-27 00:06:59.209740,212
606,31,2021-07-18 05:08:33.123208,265
607,31,2021-07-27 13:25:52.343840,245
608,31,2021-07-01 11:12:33.757368,255
609,32,2021-07-11 01:07:52.177176,226
610,32,2021-06-24 02:55:20.894306,286
611,32,2021-07-09 19:57:58.751047,238
612,32,2021-07-04 19:57:17.608600,217
613,32,2021-07-07 14:42:56.018479,222
614,32,2021-06-22 10:00:47.829068,203
615,32,2021-06-23 03:55:59.823218,172
616,32,2021-07-01 16:52:14.528591,152
617,32,2021-07-01 17:59:50.054727,130
618,32,2021-07-04 23:36:01.666375,246
619,32,2021-06-22 05:29:16.372932,241
620,32,2021-07-15 04:20:52.709257,228
621,32,2021-06-21 23:00:55.579784,209
622,32,2021-07-03 18:52:05.614751,288
623,32,2021-07-07 06:20:07.789229,270
624,33,2021-07-07 06:26:53.225772,277
625,33,2021-06-30 10:45:02.311312,186
626,33,2021-07-01 01:45:54.672269,254
627,33,2021-06-27 08:23:44.977001,240
628,33,2021-07-02 11:37:39.719083,227
629,33,2021-07-21 01:05:13.248217,204
630,33,2021-07-04 09:24:42.784652,193
631,33,2021-07-11 18:22:01.824360,125
632,33,2021-07-09 11:53:22.114679,301
633,33,2021-06-30 20:56:30.772380,290
