student_id,學科背景,學習目標,性別,年紀,居住地區,學過幾種程式語言,學過哪些程式語言
97,工程科學,Learner,女,20 - 25歲,東部,0,沒有
98,其他,Career Switcher,女,20 - 25歲,中部,1,python
99,工程科學,Career Switcher,男,40歲以上,北部,2,javascript、css
100,理論科學,Learner,男,40歲以上,中部,3,html、javascript、css
101,工程科學,Learner,男,20 歲以下,北部,2,python、javascript
102,工程科學,Learner,女,20 - 25歲,北部,0,無
103,文,Career Switcher,女,20 - 25歲,北部,0,沒有
104,理論科學,Tourist,女,31 - 35歲,南部,2,python、javascript
105,商,Tourist,不提供,36 - 40歲,東部,1,python
106,工程科學,Career Switcher,女,26 - 30歲,東部,1,javascript
107,資訊科學（資工、資管等等）,Tourist,男,26 - 30歲,南部,2,javascript、css
108,工程科學,Career Switcher,女,20 歲以下,中部,2,html、css
109,理論科學,Career Switcher,男,20 - 25歲,北部,3,html、javascript、css
110,理論科學,Tourist,男,26 - 30歲,東部,0,沒有學過
111,理論科學,Career Switcher,男,26 - 30歲,北部,1,python
112,理論科學,Career Switcher,男,26 - 30歲,北部,1,css
113,資訊科學（資工、資管等等）,Career Switcher,女,31 - 35歲,南部,3,html、javascript、css
114,商,Career Switcher,女,26 - 30歲,南部,3,html、javascript、python
115,文,Tourist,女,20 歲以下,南部,0,無
116,資訊科學（資工、資管等等）,Tourist,男,20 - 25歲,北部,1,python
117,商,Career Switcher,男,20 歲以下,中部,3,html、javascript、css
118,理論科學,Career Switcher,不提供,40歲以上,北部,2,html、css
119,理論科學,Career Switcher,女,31 - 35歲,北部,0,無
120,理論科學,Career Switcher,男,31 - 35歲,北部,2,javascript、html
121,理論科學,Career Switcher,男,26 - 30歲,中部,1,python
122,工程科學,Career Switcher,男,26 - 30歲,北部,3,html、javascript、css
123,工程科學,Tourist,男,31 - 35歲,南部,0,無
124,理論科學,Career Switcher,女,31 - 35歲,中部,3,html、javascript、css
125,文,Tourist,不提供,40歲以上,北部,0,沒有學過
126,工程科學,Career Switcher,女,20 - 25歲,東部,3,html、javascript、css
127,理論科學,Career Switcher,女,20 - 25歲,東部,0,無
128,商,Learner,女,36 - 40歲,北部,1,javascript
129,文,Tourist,男,26 - 30歲,東部,1,html
130,理論科學,Tourist,女,26 - 30歲,南部,1,css
131,資訊科學（資工、資管等等）,Career Switcher,女,26 - 30歲,東部,5,python、javascript、html、css、c++
132,資訊科學（資工、資管等等）,Career Switcher,女,20 - 25歲,中部,2,html、css
133,理論科學,Career Switcher,女,20 - 25歲,北部,3,html、javascript、python
134,資訊科學（資工、資管等等）,Career Switcher,女,36 - 40歲,中部,1,python
135,理論科學,Career Switcher,女,26 - 30歲,南部,2,javascript、html
136,工程科學,Career Switcher,男,31 - 35歲,北部,0,無
137,資訊科學（資工、資管等等）,Tourist,女,31 - 35歲,中部,1,css
138,其他,Career Switcher,女,31 - 35歲,北部,0,無
139,理論科學,Career Switcher,女,31 - 35歲,北部,0,無
140,工程科學,Career Switcher,男,26 - 30歲,北部,1,javascript
141,理論科學,Learner,女,20 - 25歲,東部,3,html、javascript、css
142,商,Learner,男,26 - 30歲,中部,2,javascript、html
143,其他,Tourist,女,36 - 40歲,東部,0,沒有學過
144,文,Learner,女,26 - 30歲,南部,0,沒有學過
145,商,Learner,男,26 - 30歲,北部,0,無
146,文,Tourist,女,26 - 30歲,中部,1,html
147,商,Learner,男,36 - 40歲,北部,4,html、css、javascript、python
148,資訊科學（資工、資管等等）,Career Switcher,女,20 歲以下,東部,3,html、javascript、css
149,商,Learner,女,31 - 35歲,北部,0,無
150,商,Tourist,女,36 - 40歲,北部,1,python
151,資訊科學（資工、資管等等）,Career Switcher,男,31 - 35歲,南部,2,python、javascript
152,工程科學,Career Switcher,女,20 - 25歲,東部,2,html、css
153,其他,Tourist,男,36 - 40歲,南部,0,沒有學過
154,工程科學,Career Switcher,女,20 - 25歲,東部,0,沒有學過
155,理論科學,Tourist,男,31 - 35歲,南部,2,python、javascript
156,工程科學,Career Switcher,女,20 - 25歲,中部,3,html、javascript、css
157,資訊科學（資工、資管等等）,Tourist,男,31 - 35歲,北部,1,javascript
158,理論科學,Learner,女,20 - 25歲,中部,0,無
159,資訊科學（資工、資管等等）,Career Switcher,男,26 - 30歲,南部,0,沒有學過
160,其他,Learner,女,31 - 35歲,北部,3,html、javascript、css
161,商,Career Switcher,女,26 - 30歲,南部,2,javascript、css
162,理論科學,Tourist,女,31 - 35歲,南部,0,無
163,理論科學,Career Switcher,男,31 - 35歲,南部,2,html、css
164,工程科學,Career Switcher,女,20 - 25歲,中部,3,html、javascript、css
165,商,Tourist,男,20 歲以下,中部,0,沒有學過
166,資訊科學（資工、資管等等）,Career Switcher,男,20 - 25歲,南部,3,html、javascript、python
167,理論科學,Tourist,男,26 - 30歲,北部,2,python、javascript
168,資訊科學（資工、資管等等）,Tourist,女,31 - 35歲,東部,0,無
169,商,Career Switcher,不提供,36 - 40歲,北部,0,無
170,文,Tourist,女,26 - 30歲,北部,0,沒有
171,資訊科學（資工、資管等等）,Career Switcher,男,20 - 25歲,北部,1,html
172,商,Career Switcher,女,26 - 30歲,南部,3,html、javascript、python
173,理論科學,Career Switcher,男,26 - 30歲,北部,1,python
174,文,Career Switcher,男,20 - 25歲,中部,1,html
175,資訊科學（資工、資管等等）,Learner,女,26 - 30歲,北部,0,沒有學過
176,資訊科學（資工、資管等等）,Career Switcher,女,20 歲以下,北部,2,javascript、css
177,文,Career Switcher,男,26 - 30歲,東部,0,沒有
178,商,Learner,女,20 歲以下,北部,0,沒有學過
179,理論科學,Career Switcher,男,40歲以上,北部,3,html、javascript、css
180,工程科學,Career Switcher,女,20 - 25歲,北部,2,html、css
181,文,Tourist,女,26 - 30歲,中部,1,javascript
182,工程科學,Learner,不提供,31 - 35歲,中部,0,無
183,工程科學,Tourist,男,26 - 30歲,北部,0,沒有
184,工程科學,Learner,女,36 - 40歲,東部,3,html、javascript、css
185,資訊科學（資工、資管等等）,Career Switcher,男,31 - 35歲,北部,1,css
186,其他,Tourist,女,20 - 25歲,中部,0,無
187,商,Tourist,女,26 - 30歲,南部,0,無
188,其他,Learner,女,20 歲以下,中部,1,html
189,文,Tourist,男,20 - 25歲,北部,1,python
190,工程科學,Career Switcher,男,20 - 25歲,東部,2,javascript、html
191,工程科學,Learner,男,20 - 25歲,北部,4,"python、javascript ,html、css"
192,商,Learner,女,31 - 35歲,東部,0,沒有學過
193,商,Career Switcher,女,31 - 35歲,北部,3,html、javascript、css
194,工程科學,Learner,女,31 - 35歲,北部,2,python、javascript
195,資訊科學（資工、資管等等）,Learner,女,31 - 35歲,南部,1,css
196,工程科學,Career Switcher,女,26 - 30歲,南部,2,javascript、html
197,理論科學,Tourist,女,20 - 25歲,東部,1,python
198,工程科學,Learner,女,36 - 40歲,南部,3,html、javascript、css
199,資訊科學（資工、資管等等）,Career Switcher,女,31 - 35歲,南部,0,沒有
200,理論科學,Career Switcher,男,20 - 25歲,中部,1,css
201,理論科學,Learner,女,31 - 35歲,中部,1,python
202,商,Tourist,男,20 - 25歲,東部,0,沒有學過
203,文,Tourist,不提供,20 - 25歲,南部,1,python
204,工程科學,Career Switcher,男,26 - 30歲,東部,1,css
205,理論科學,Tourist,女,31 - 35歲,南部,2,python、javascript
206,理論科學,Learner,男,26 - 30歲,北部,2,javascript、html
207,工程科學,Learner,男,31 - 35歲,北部,1,css
208,理論科學,Career Switcher,女,20 - 25歲,東部,3,html、javascript、css
209,工程科學,Learner,男,20 - 25歲,南部,0,無
210,工程科學,Tourist,女,36 - 40歲,北部,0,沒有學過
211,理論科學,Career Switcher,男,40歲以上,中部,0,無
212,理論科學,Learner,女,20 - 25歲,中部,1,javascript
213,工程科學,Career Switcher,女,26 - 30歲,北部,4,"python、javascript ,html、css"
214,商,Career Switcher,女,26 - 30歲,中部,1,javascript
215,資訊科學（資工、資管等等）,Career Switcher,女,26 - 30歲,南部,2,python、javascript
216,工程科學,Tourist,女,26 - 30歲,東部,0,沒有
217,工程科學,Tourist,女,26 - 30歲,中部,1,css
218,理論科學,Career Switcher,女,26 - 30歲,南部,4,"python、javascript ,html、css"
219,其他,Career Switcher,女,31 - 35歲,中部,4,"html、javascript ,python、css"
220,資訊科學（資工、資管等等）,Learner,男,20 - 25歲,南部,3,html、javascript、css
221,理論科學,Career Switcher,女,40歲以上,南部,2,python、javascript
222,文,Career Switcher,男,26 - 30歲,北部,1,python
223,商,Tourist,不提供,26 - 30歲,南部,1,css
224,工程科學,Tourist,女,20 - 25歲,南部,0,沒有
225,文,Career Switcher,女,20 - 25歲,南部,0,無
226,工程科學,Tourist,女,20 歲以下,北部,1,html
227,商,Tourist,男,20 - 25歲,南部,0,無
228,文,Tourist,女,26 - 30歲,東部,0,沒有
229,資訊科學（資工、資管等等）,Career Switcher,男,26 - 30歲,中部,0,沒有學過
230,工程科學,Career Switcher,男,26 - 30歲,北部,2,javascript、css
231,資訊科學（資工、資管等等）,Career Switcher,女,26 - 30歲,東部,1,html
232,理論科學,Learner,女,40歲以上,南部,1,python
233,理論科學,Career Switcher,女,26 - 30歲,東部,3,html、javascript、css
234,理論科學,Learner,女,40歲以上,東部,1,javascript
235,工程科學,Learner,男,26 - 30歲,南部,2,javascript、html
236,理論科學,Tourist,男,20 - 25歲,中部,0,無
237,理論科學,Career Switcher,女,36 - 40歲,北部,1,javascript
238,理論科學,Learner,男,20 - 25歲,中部,4,"python、javascript ,html、css"
239,文,Tourist,女,20 - 25歲,中部,0,沒有
240,理論科學,Career Switcher,女,20 - 25歲,東部,3,html、javascript、css
241,文,Career Switcher,女,26 - 30歲,中部,1,css
242,文,Tourist,男,20 - 25歲,南部,3,html、javascript、css
243,理論科學,Career Switcher,女,26 - 30歲,南部,2,python、javascript
244,其他,Tourist,男,20 歲以下,中部,1,html
245,商,Tourist,女,20 - 25歲,中部,3,html、javascript、css
246,資訊科學（資工、資管等等）,Career Switcher,女,31 - 35歲,東部,4,"html、javascript ,python、css"
247,工程科學,Career Switcher,男,26 - 30歲,中部,3,html、javascript、python
248,工程科學,Tourist,女,31 - 35歲,北部,2,javascript、html
249,理論科學,Career Switcher,男,20 歲以下,中部,3,html、javascript、css
250,資訊科學（資工、資管等等）,Career Switcher,女,20 - 25歲,東部,4,"python、javascript ,html、css"
251,商,Tourist,女,20 - 25歲,南部,1,javascript
252,工程科學,Tourist,男,26 - 30歲,中部,3,html、javascript、python
253,商,Career Switcher,男,31 - 35歲,北部,4,"html、javascript ,python、css"
254,文,Tourist,女,20 - 25歲,北部,2,html、css
255,其他,Career Switcher,女,20 - 25歲,南部,0,沒有
256,資訊科學（資工、資管等等）,Tourist,男,31 - 35歲,中部,1,css
257,理論科學,Career Switcher,男,26 - 30歲,北部,1,python
258,理論科學,Career Switcher,男,26 - 30歲,北部,0,無
259,資訊科學（資工、資管等等）,Career Switcher,男,26 - 30歲,北部,3,html、javascript、css
260,理論科學,Career Switcher,女,26 - 30歲,北部,2,javascript、html
261,理論科學,Career Switcher,女,26 - 30歲,中部,4,"python、javascript ,html、css"
262,資訊科學（資工、資管等等）,Learner,女,26 - 30歲,南部,2,html、css
263,工程科學,Tourist,女,26 - 30歲,中部,0,無
264,其他,Career Switcher,女,20 歲以下,中部,3,html、javascript、python
265,商,Tourist,女,20 - 25歲,北部,3,html、javascript、css
266,商,Tourist,男,26 - 30歲,北部,1,javascript
267,商,Tourist,女,31 - 35歲,南部,0,無
268,工程科學,Career Switcher,男,20 - 25歲,南部,3,html、javascript、css
269,理論科學,Career Switcher,女,20 - 25歲,南部,3,html、javascript、css
270,商,Tourist,男,26 - 30歲,南部,1,html
271,理論科學,Tourist,男,26 - 30歲,北部,1,javascript
272,理論科學,Career Switcher,女,20 - 25歲,南部,1,javascript
273,理論科學,Career Switcher,女,31 - 35歲,北部,3,html、javascript、css
274,其他,Career Switcher,男,40歲以上,北部,3,html、javascript、css
275,資訊科學（資工、資管等等）,Career Switcher,男,26 - 30歲,東部,3,html、javascript、css
276,資訊科學（資工、資管等等）,Career Switcher,女,40歲以上,東部,3,html、javascript、python
277,文,Tourist,男,26 - 30歲,北部,0,無
278,理論科學,Learner,男,36 - 40歲,北部,0,無
279,其他,Career Switcher,男,26 - 30歲,中部,3,html、javascript、css
280,資訊科學（資工、資管等等）,Learner,男,40歲以上,北部,1,html
281,理論科學,Career Switcher,男,31 - 35歲,北部,2,javascript、html
282,理論科學,Career Switcher,女,20 - 25歲,中部,2,python、javascript
283,理論科學,Career Switcher,女,26 - 30歲,北部,2,javascript、css
284,商,Tourist,男,20 - 25歲,東部,0,沒有學過
285,文,Career Switcher,男,20 - 25歲,南部,0,沒有學過
286,文,Career Switcher,男,40歲以上,南部,0,沒有
287,資訊科學（資工、資管等等）,Career Switcher,女,31 - 35歲,南部,3,html、javascript、python
288,商,Career Switcher,女,31 - 35歲,北部,1,javascript
289,工程科學,Career Switcher,男,20 - 25歲,南部,3,html、javascript、css
290,工程科學,Career Switcher,女,20 歲以下,南部,2,python、javascript
291,文,Learner,女,26 - 30歲,南部,1,python
292,工程科學,Learner,女,20 - 25歲,南部,4,"python、javascript ,html、css"
293,商,Tourist,男,31 - 35歲,中部,1,css
294,理論科學,Career Switcher,女,20 - 25歲,北部,1,css
295,資訊科學（資工、資管等等）,Career Switcher,男,20 - 25歲,中部,1,python
296,工程科學,Career Switcher,女,36 - 40歲,北部,1,css
297,工程科學,Career Switcher,女,31 - 35歲,中部,2,javascript、html
298,商,Learner,男,26 - 30歲,北部,0,無
299,理論科學,Career Switcher,男,26 - 30歲,中部,1,javascript
300,工程科學,Career Switcher,男,26 - 30歲,南部,3,html、javascript、css
301,資訊科學（資工、資管等等）,Learner,男,20 - 25歲,中部,1,javascript
302,資訊科學（資工、資管等等）,Learner,女,20 歲以下,南部,2,javascript、css
303,資訊科學（資工、資管等等）,Learner,男,31 - 35歲,東部,1,javascript
304,其他,Tourist,女,31 - 35歲,北部,3,html、javascript、css
305,理論科學,Learner,男,26 - 30歲,東部,2,javascript、html
306,商,Tourist,男,20 - 25歲,南部,1,css
307,商,Tourist,男,20 - 25歲,東部,0,無
308,文,Career Switcher,女,26 - 30歲,南部,1,css
309,文,Career Switcher,女,31 - 35歲,北部,0,無
310,理論科學,Career Switcher,女,26 - 30歲,南部,2,python、javascript
311,文,Career Switcher,不提供,31 - 35歲,南部,0,沒有學過
312,商,Career Switcher,女,31 - 35歲,中部,0,沒有
313,文,Tourist,女,20 歲以下,中部,0,無
314,其他,Career Switcher,男,26 - 30歲,北部,3,html、javascript、css
315,資訊科學（資工、資管等等）,Career Switcher,男,20 歲以下,南部,4,html、css、javascript、python
316,文,Career Switcher,男,26 - 30歲,中部,0,沒有
317,工程科學,Career Switcher,女,20 - 25歲,東部,1,python
318,文,Tourist,女,26 - 30歲,北部,0,無
319,資訊科學（資工、資管等等）,Learner,不提供,40歲以上,北部,3,html、javascript、css
320,資訊科學（資工、資管等等）,Tourist,女,20 - 25歲,北部,1,javascript
321,文,Learner,女,31 - 35歲,北部,0,無
322,理論科學,Learner,女,20 - 25歲,中部,2,python、javascript
323,理論科學,Learner,男,36 - 40歲,其他,3,html、javascript、css
324,工程科學,Learner,女,31 - 35歲,南部,0,無
325,理論科學,Learner,女,20 歲以下,東部,1,css
326,工程科學,Tourist,男,20 - 25歲,南部,1,css
327,理論科學,Learner,男,20 歲以下,北部,1,javascript
328,理論科學,Tourist,女,20 - 25歲,中部,1,javascript
329,工程科學,Tourist,女,20 歲以下,北部,0,沒有
330,商,Tourist,男,20 - 25歲,南部,1,css
331,工程科學,Tourist,男,26 - 30歲,南部,1,javascript
332,商,Learner,女,20 歲以下,中部,0,無
333,理論科學,Tourist,男,20 - 25歲,南部,2,javascript、html
334,文,Tourist,女,26 - 30歲,中部,0,沒有
335,文,Tourist,男,26 - 30歲,南部,0,沒有學過
336,工程科學,Career Switcher,男,20 - 25歲,東部,0,沒有學過
337,工程科學,Career Switcher,男,36 - 40歲,東部,5,python、javascript、html、css、c++
338,工程科學,Career Switcher,不提供,26 - 30歲,南部,1,python
339,資訊科學（資工、資管等等）,Tourist,不提供,20 - 25歲,南部,0,無
340,工程科學,Career Switcher,女,26 - 30歲,北部,3,html、javascript、css
341,商,Career Switcher,女,20 - 25歲,南部,1,javascript
342,理論科學,Career Switcher,女,20 - 25歲,中部,1,python
343,商,Career Switcher,男,31 - 35歲,北部,1,javascript
344,工程科學,Career Switcher,男,20 - 25歲,北部,1,css
345,工程科學,Learner,女,31 - 35歲,中部,1,javascript
346,資訊科學（資工、資管等等）,Career Switcher,女,20 - 25歲,東部,3,html、javascript、python
347,工程科學,Career Switcher,男,26 - 30歲,中部,2,python、javascript
348,工程科學,Learner,男,20 - 25歲,中部,4,"python、javascript ,html、css"
349,資訊科學（資工、資管等等）,Career Switcher,男,31 - 35歲,中部,2,javascript、css
350,理論科學,Learner,男,20 - 25歲,北部,0,無
351,理論科學,Learner,女,20 - 25歲,中部,0,無
352,理論科學,Learner,女,20 - 25歲,南部,1,css
353,資訊科學（資工、資管等等）,Learner,男,20 歲以下,北部,3,html、javascript、css
354,其他,Learner,女,26 - 30歲,北部,0,無
355,商,Career Switcher,女,20 - 25歲,北部,0,沒有學過
356,文,Tourist,女,36 - 40歲,南部,1,css
357,商,Tourist,女,26 - 30歲,東部,1,javascript
358,商,Career Switcher,女,36 - 40歲,北部,1,javascript
359,工程科學,Learner,男,26 - 30歲,中部,0,無
360,文,Learner,女,20 - 25歲,中部,3,html、javascript、css
361,理論科學,Learner,女,26 - 30歲,北部,2,html、css
362,商,Career Switcher,男,26 - 30歲,南部,3,html、javascript、css
363,工程科學,Career Switcher,不提供,20 - 25歲,北部,3,html、javascript、css
364,工程科學,Tourist,女,31 - 35歲,北部,3,html、javascript、css
365,文,Career Switcher,不提供,31 - 35歲,北部,1,javascript
366,工程科學,Learner,男,26 - 30歲,東部,2,python、javascript
367,理論科學,Career Switcher,男,20 - 25歲,北部,1,html
368,工程科學,Career Switcher,女,26 - 30歲,南部,0,沒有學過
369,工程科學,Career Switcher,女,20 歲以下,東部,2,python、javascript
370,工程科學,Career Switcher,女,31 - 35歲,中部,3,html、javascript、css
371,商,Tourist,男,31 - 35歲,中部,1,python
372,文,Career Switcher,女,20 - 25歲,東部,0,沒有
373,商,Career Switcher,女,31 - 35歲,中部,4,"html、javascript ,python、css"
374,商,Tourist,女,20 - 25歲,中部,2,javascript、html
375,資訊科學（資工、資管等等）,Learner,女,31 - 35歲,東部,3,html、javascript、css
376,商,Tourist,男,40歲以上,北部,0,無
377,工程科學,Learner,男,20 - 25歲,南部,0,無
378,理論科學,Tourist,男,20 - 25歲,南部,0,沒有
379,工程科學,Career Switcher,女,20 - 25歲,中部,2,html、css
380,商,Career Switcher,男,20 - 25歲,北部,2,javascript、css
381,資訊科學（資工、資管等等）,Tourist,不提供,26 - 30歲,東部,0,沒有學過
382,商,Tourist,女,20 - 25歲,東部,1,javascript
383,文,Career Switcher,男,20 - 25歲,北部,1,css
384,理論科學,Career Switcher,女,26 - 30歲,北部,2,html、css
385,文,Tourist,女,20 - 25歲,東部,0,沒有
386,文,Tourist,女,20 - 25歲,東部,0,沒有學過
387,其他,Career Switcher,女,20 歲以下,北部,0,無
388,商,Tourist,女,26 - 30歲,中部,0,無
389,理論科學,Career Switcher,女,31 - 35歲,中部,3,html、javascript、css
390,理論科學,Career Switcher,男,26 - 30歲,南部,2,javascript、css
391,工程科學,Career Switcher,女,26 - 30歲,南部,2,html、css
392,工程科學,Career Switcher,男,20 歲以下,南部,3,html、javascript、python
393,資訊科學（資工、資管等等）,Career Switcher,男,26 - 30歲,東部,1,javascript
394,其他,Career Switcher,男,31 - 35歲,北部,4,"python、javascript ,html、css"
395,文,Learner,男,26 - 30歲,南部,0,沒有學過
396,資訊科學（資工、資管等等）,Tourist,女,20 - 25歲,中部,0,無
397,其他,Learner,女,26 - 30歲,南部,0,沒有學過
398,資訊科學（資工、資管等等）,Tourist,男,26 - 30歲,中部,0,無
399,商,Career Switcher,男,31 - 35歲,東部,1,html
400,工程科學,Career Switcher,女,20 - 25歲,北部,0,沒有
401,理論科學,Learner,男,20 歲以下,中部,3,html、javascript、css
402,工程科學,Career Switcher,男,26 - 30歲,南部,1,javascript
403,理論科學,Tourist,男,31 - 35歲,北部,1,javascript
404,工程科學,Career Switcher,男,20 - 25歲,中部,0,沒有學過
405,文,Career Switcher,女,31 - 35歲,東部,2,html、css
406,其他,Tourist,女,26 - 30歲,中部,0,無
407,文,Tourist,男,31 - 35歲,南部,1,html
408,工程科學,Tourist,男,20 - 25歲,北部,1,css
409,工程科學,Career Switcher,女,20 - 25歲,中部,3,html、javascript、css
410,資訊科學（資工、資管等等）,Tourist,男,26 - 30歲,北部,2,javascript、html
411,文,Career Switcher,女,20 - 25歲,南部,0,無
412,文,Tourist,女,40歲以上,北部,1,python
413,文,Tourist,女,26 - 30歲,中部,0,無
414,理論科學,Learner,男,20 - 25歲,北部,4,"python、javascript ,html、css"
415,資訊科學（資工、資管等等）,Career Switcher,男,26 - 30歲,北部,2,python、javascript
416,其他,Career Switcher,女,26 - 30歲,北部,2,html、css
417,工程科學,Career Switcher,男,36 - 40歲,南部,2,python、javascript
418,理論科學,Tourist,女,26 - 30歲,東部,3,html、javascript、css
419,其他,Career Switcher,女,20 歲以下,南部,0,沒有學過
420,工程科學,Career Switcher,男,20 歲以下,東部,1,html
421,工程科學,Career Switcher,男,20 - 25歲,東部,2,javascript、html
